KW;Artikelnr.;Prüfziffer;Artikelbezeichnung;Abgabemenge;Palette;SA-GP;SA-VK;Spanne;N-GP;VK1;Spanne;VK2;Spanne;VK3;Spanne;KZ L/S;Einmalkauf;MHD;Sondertext;Druckkz;Endverbr. von;Endverbr. Bis;Lieferd. Von;Sortiment;
28;5464541001;;Echt.Nordh.R.Ernte Williamsbirne30% 0,5l;24 ST;0;;;;;;;;;;;L;;;;0;09.07.2026;11.07.2026;06.07.2026;Wein/Spirituosen;
28;5464541001;;Echt.Nordh.Reiche Ernte Haseln.30% 0,5l;12 ST;0;;;;;;;;;;;L;;;;0;09.07.2026;11.07.2026;06.07.2026;Wein/Spirituosen;
28;5464541001;;Echt.Nord.Rei.Ernte Mirabelle 30%0,5l;12 ST;0;;;;;;;;;;;L;;;;0;09.07.2026;11.07.2026;06.07.2026;Wein/Spirituosen;
28;5464541001;;Echt.Nordh.Reiche Ernte Marille 30% 0,5l;12 ST;0;;;;;;;;;;;L;;;;0;09.07.2026;11.07.2026;06.07.2026;Wein/Spirituosen;
28;5464541001;;Echt.Nordh.RE Sauerkirsche 30% 0,5l;12 ST;0;;;;;;;;;;;L;;;;0;09.07.2026;11.07.2026;06.07.2026;Wein/Spirituosen;
28;1330278002;4;Wagner Die Backfrische Speciale 360g;8 SH;72;1,572;1,79;6;2,014;3,89;57;3,69;54;3,69;54;L;;120;1. Auslieferung, Knüller;0;05.07.2026;11.07.2026;29.06.2026;Tiefkühl;
28;1330279005;4;Wagner Die Backfrische Salami 320g;8 SH;72;1,572;1,79;6;2,014;3,89;57;3,69;54;3,69;54;L;;120;1. Auslieferung, Knüller;2;05.07.2026;11.07.2026;29.06.2026;Tiefkühl;
28;1330280005;0;Wagner Die Backfrische Mozzarella 350g;8 SH;72;1,572;1,79;6;2,014;3,89;57;3,69;54;3,69;54;L;;120;1. Auslieferung, Knüller;0;05.07.2026;11.07.2026;29.06.2026;Tiefkühl;
28;3318449008;8;Wagn.Die Backfrische Hähnchen 370g;8 SH;72;1,572;1,79;6;2,014;3,89;57;3,69;54;3,69;54;L;;120;1. Auslieferung, Knüller;0;05.07.2026;11.07.2026;29.06.2026;Tiefkühl;
28;3336686003;6;Wagner Die Backfrische Chorizo 350g;8 ST;72;1,572;1,79;6;2,014;3,89;57;3,69;54;3,69;54;L;;120;1. Auslieferung, Knüller;1;05.07.2026;11.07.2026;29.06.2026;Tiefkühl;
28;3621740001;6;Wagn.Die Backfrische Fünf Käse 340g;8 SH;72;1,572;1,79;6;2,014;3,89;57;3,69;54;3,69;54;L;;120;1. Auslieferung, Knüller;0;05.07.2026;11.07.2026;29.06.2026;Tiefkühl;
28;3625109008;2;Wagn.Die Backfris.Sparg.Schink.Sais.350g;8 SH;72;1,572;1,79;6;2,014;3,89;57;3,69;54;3,69;54;L;;120;1. Auslieferung, Knüller;0;05.07.2026;11.07.2026;29.06.2026;Tiefkühl;
28;5439366006;2;Wagner Die Backfrische Kürbis Pilz.375g;8 SH;72;1,572;1,79;6;2,014;3,89;57;3,69;54;3,69;54;L;;120;1. Auslieferung, Knüller;1;05.07.2026;11.07.2026;29.06.2026;Tiefkühl;
28;5609599001;0;Wagn.Die Backfrische Diavolo 360g;8 SH;72;1,572;1,79;6;2,014;3,89;57;3,69;54;3,69;54;L;;120;1. Auslieferung, Knüller;0;05.07.2026;11.07.2026;29.06.2026;Tiefkühl;
28;3926574008;0;Wagn.Big City Pizza Amsterdam 410g;5 SH;84;1,572;1,79;6;2,014;3,89;57;3,69;54;3,69;54;L;;120;1. Auslieferung, Knüller;1;05.07.2026;11.07.2026;29.06.2026;Tiefkühl;
